sp no ,Genus 
1,ceratina 
2,ceratina 
3,ceratina 
4,ceratina 
5,ceratina 
6,ceratina 
7,ceratina 
8,ceratina 
9,ceratina 
10,ceratina 
11,ceratina 
12,ceratina 
13,ceratina 
14,ceratina 
15,ceratina 
16,bombylius
17,ceratina 
18,ceratina 
19,ceratina 
20,halictus
21,ceratina 
22,ceratina 
23,ceratina 
24,halictus
25,ceratina 
26,ceratina 
28,ceratina 
30,ceratina 
31,ceratina 
32,ceratina 
33,ceratina 
34,ceratina 
35,bombus
36,ceratina 
37,ceratina 
38,ceratina 
39,ceratina 
40,ceratina 
41,halictus
42,ceratina 
43,ceratina 
44,nomada
45,ceratina 
46,nomada
47,osmia
48,mellisodes
49,ceratina 
50,ceratina 
51,ceratina 
52,nomada
53,halictus
54,ceratina 
55,ceratina 
56,ceratina 
57,ceratina 
58,osmia
59,ceratina 
61,ceratina 
62,nomada
63,ceratina 
64,osmia
65,nomada
66,nomada
67,apis
68,ceratina 
69,ceratina 
70,ceratina 
71,nomada
72,nomada
73,nomada
74,osmia
75,ceratina 
76,syritta
77,ceratina 
78,ceratina 
79,ceratina 
80,ceratina 
81,osmia
82,ceratina 
83,osmia
84,ceratina 
85,ceratina 
86,ceratina 
87,ceratina 
88,ceratina 
89,ceratina 
90,ceratina 
91,ceratina 
92,osmia
93,sphaerophoria
94,apis
95,osmia
96,nomada
97,halictus
98,osmia
99,bombus
100,ceratina 
101,apis
102,apis
103,apis
104,apis
105,apis
106,apis
107,apis
108,syrphus
109,ceratina 
110,apis
111,halictus
112,apis
113,apis
115,apis
116,apis
117,agapostemon
118,toxomerus
120,apis
121,apis
122,apis
124,apis
125,apis
126,sphaerophoria
127,apis
128,apis
129,apis
130,apis
131,bombus
132,apis
133,apis
135,ceratina 
136,apis
137,apis
138,bombus
139,halictus
140,apis
141,osmia
142,apis
143,apis
144,apis
145,halictus
146,apis
147,agapostemon
148,sphaerophoria
149,apis
150,apis
151,apis
152,apis
153,halictus
155,apis
156,ceratina 
157,halictus
158,apis
159,ceratina 
160,apis
161,apis
162,apis
163,apis
164,apis
165,osmia
166,apis
167,apis
168,agapostemon
169,apis
170,apis
171,apis
172,apis
173,apis
174,apis
175,apis
176,apis
177,apis
178,apis
179,apis
180,apis
181,ceratina 
182,apis
183,halictus
184,eristalis
185,protosmia rubitloris
186,ceratina 
187,apis
188,apis
189,sphaerophoria
190,sphaerophoria
191,ceratina 
192,bombus
193,apis
194,ceratina 
195,ceratina 
196,nomada
197,osmia
199,apis
200,sphaerophoria
202,osmia
203,cylindromyia
204,ceratina 
205,sphaerophoria
206,apis
207,ceratina 
208,sphaerophoria
209,ceratina 
210,ceratina 
211,ceratina 
212,ceratina 
213,halictus
214,ceratina 
215,halictus
216,ceratina 
217,ceratina 
218,ceratina 
219,sphaerophoria
220,toxomerus
221,ceratina 
222,ceratina 
223,halictus
224,ceratina 
225,ceratina 
226,ceratina 
227,ceratina 
228,ceratina 
229,ceratina 
230,ceratina 
232,ceratina 
233,ceratina 
235,halictus
237,halictus
238,ceratina 
239,ceratina 
240,halictus
241,ceratina 
242,ceratina 
243,eristalis
244,adrena
245,ceratina 
246,ceratina 
247,ceratina 
248,ceratina 
249,halictus
250,ceratina 
251,ceratina 
253,ceratina 
254,ceratina 
255,ceratina 
257,ceratina 
258,halictus
259,ceratina 
260,ceratina 
261,apis
262,ceratina 
263,ceratina 
264,nomada
266,ceratina 
268,ceratina 
269,halictus
270,halictus
271,halictus
272,halictus
273,bombus
274,xenoglossodes
275,halictus
276,mellisodes
277,syrphus
278,xenoglossodes
279,lassioglossum
280,eucera
281,apis
282,halictus
283,xenoglossodes
284,apis
285,halictus
286,mellisodes
287,xenoglossodes
288,xenoglossodes
289,bombus
290,mellisodes
291,mellisodes
292,mellisodes
293,halictus
294,apis
295,halictus
296,halictus
297,mellisodes
298,lassioglossum
299,halictus
300,mellisodes
301,mellisodes
302,mellisodes
303,halictus
304,lassioglossum
305,lassioglossum
306,lassioglossum
307,xenoglossodes
308,xenoglossodes
309,megachile
310,mellisodes
311,syrphus
312,halictus
313,mellisodes
314,xenoglossodes
315,lassioglossum
316,xenoglossodes
317,mellisodes
318,xenoglossodes
319,halictus
320,halictus
321,mellisodes
322,halictus
323,halictus
324,halictus
325,mellisodes
326,halictus
327,anthidium
328,halictus
329,halictus
330,halictus
331,halictus
332,halictus
333,ceratina 
334,ceratina 
335,mellisodes
336,ceratina 
337,ceratina 
338,ceratina 
339,halictus
340,mellisodes
341,mellisodes
342,mellisodes
343,lassioglossum
344,xenoglossodes
345,halictus
346,halictus
347,halictus
348,mellisodes
349,mellisodes
350,halictus
351,halictus
352,halictus
353,sphaerophoria
354,halictus
355,halictus
356,ceratina 
357,halictus
358,mellisodes
359,mellisodes
360,halictus
361,megachile
362,ceratina 
363,megachile
364,megachile
365,ceratina 
366,ceratina 
367,halictus
368,ceratina 
369,ceratina 
370,ceratina 
371,bombus
372,ceratina 
373,mellisodes
374,ceratina 
375,ceratina 
376,halictus
377,mellisodes
378,megachile
379,mellisodes
380,ceratina 
381,megachile
382,mellisodes
383,halictus
384,ceratina 
385,osmia
386,halictus
387,ceratina 
388,mellisodes
389,ceratina 
390,ceratina 
391,halictus
392,ceratina 
393,ceratina 
394,ceratina 
395,lassioglossum
396,ceratina 
397,mellisodes
398,megachile
399,halictus
400,mellisodes
401,ceratina 
402,halictus
403,ceratina 
404,halictus
405,ceratina 
406,halictus
407,halictus
408,mellisodes
409,mellisodes
410,halictus
411,halictus
412,ceratina 
413,ceratina 
414,apis
415,ceratina 
416,halictus
417,ceratina 
418,megachile
419,mellisodes
420,mellisodes
421,mellisodes
422,ceratina 
423,ceratina 
424,mellisodes
425,halictus
426,ceratina 
427,ceratina 
428,ceratina 
429,ceratina 
430,ceratina 
431,ceratina 
432,halictus
433,ceratina 
434,mellisodes
435,halictus
436,megachile
437,mellisodes
438,halictus
439,halictus
440,ceratina 
441,mellisodes
442,halictus
443,ceratina 
444,apis
445,halictus
446,mellisodes
447,nomada
448,ceratina 
449,mellisodes
450,halictus
451,megachile
452,megachile
453,megachile
455,ceratina 
456,halictus
457,mellisodes
458,megachile
459,mellisodes
460,halictus
461,mellisodes
462,halictus
463,mellisodes
464,bombus
466,bombus
467,megachile
468,halictus
470,halictus
471,ceratina 
472,halictus
474,sphaerophoria
475,ceratina 
476,mellisodes
477,sphaerophoria
478,sphaerophoria
479,sphaerophoria
481,ceratina 
482,ceratina 
483,ceratina 
486,ceratina 
487,apis
488,ceratina 
490,ceratina 
491,ceratina 
492,apis
493,agapostemon
494,ceratina 
495,ceratina 
496,ceratina 
497,eucera
498,megachile
499,ceratina 
500,ceratina 
501,ceratina 
502,apis
503,ceratina 
504,ceratina 
505,halictus
506,sphaerophoria
507,ceratina 
508,mellisodes
509,ceratina 
510,ceratina 
511,ceratina 
512,ceratina 
513,ceratina 
514,ceratina 
515,ceratina 
516,ceratina 
517,halictus
518,ceratina 
519,ceratina 
520,ceratina 
521,ceratina 
522,ceratina 
523,osmia
524,ceratina 
525,apis
526,ceratina 
527,apis
528,apis
529,ceratina 
530,apis
531,apis
532,ceratina 
533,ceratina 
534,apis
535,apis
536,apis
537,apis
538,ceratina 
539,ceratina 
540,apis
541,apis
542,osmia
543,apis
544,apis
545,apis
546,ceratina 
547,apis
548,ceratina 
549,apis
550,apis
551,halictus
552,ceratina 
553,ceratina 
554,apis
555,halictus
556,ceratina 
557,bombus
558,megachile
559,ceratina 
560,mellisodes
561,ceratina 
562,ceratina 
563,syrphus
564,ceratina 
565,apis
566,sphaerophoria
567,halictus
568,eristalis
569,ceratina 
570,ceratina 
571,ceratina 
572,ceratina 
573,osmia
574,ceratina 
575,ceratina 
576,ceratina 
577,ceratina 
578,ceratina 
579,ceratina 
580,ceratina 
582,ceratina 
584,ceratina 
585,ceratina 
586,ceratina 
587,ceratina 
588,sphaerophoria
589,apis
590,ceratina 
591,ceratina 
592,ceratina 
593,ceratina 
594,ceratina 
595,apis
596,ceratina 
597,apis
598,halictus
599,ceratina 
600,ceratina 
601,ceratina 
602,ceratina 
603,halictus
604,ceratina 
605,ceratina 
606,ceratina 
607,ceratina 
608,ceratina 
609,ceratina 
610,megachile
611,ceratina 
612,ceratina 
613,ceratina 
614,ceratina 
615,ceratina 
616,ceratina 
617,ceratina 
618,ceratina 
619,ceratina 
620,ceratina 
621,ceratina 
