"sp.no","Block","Plot","plant","Genus"
1,"A",1,"PLECON","ceratina "
2,"A",1,"PLECON","ceratina "
3,"A",2,"PLECON","ceratina "
4,"A",5,"PLECON","ceratina "
5,"A",5,"PLECON","ceratina "
6,"A",5,"PLECON","ceratina "
7,"A",5,"PLECON","ceratina "
8,"A",5,"PLECON","ceratina "
9,"A",5,"CLAPAR","ceratina "
10,"A",5,"PLECON","ceratina "
11,"B",3,"PLECON","ceratina "
12,"B",3,"PLECON","ceratina "
13,"B",3,"PLECON","ceratina "
14,"B",3,"PLECON","ceratina "
15,"B",3,"PLECON","ceratina "
16,"B",5,"PLECON","bombylius"
17,"B",6,"PLECON","ceratina "
18,"B",6,"PLECON","ceratina "
19,"B",6,"PLECON","ceratina "
20,"C",1,"MYODIS","halictus"
21,"C",1,"PLECON","ceratina "
22,"C",4,"PLECON","ceratina "
23,"C",4,"MYODIS","ceratina "
24,"C",4,"MYODIS","halictus"
25,"C",4,"MYODIS","ceratina "
26,"C",4,"PLECON","ceratina "
28,"C",5,"PLECON","ceratina "
30,"A",1,"PLECON","ceratina "
31,"A",1,"PLECON","ceratina "
32,"A",1,"PLECON","ceratina "
33,"A",1,"PLECON","ceratina "
34,"A",1,"PLAFIG","ceratina "
35,"A",2,"COLLIGRA","bombus"
36,"A",3,"GERDIS","ceratina "
37,"A",1,"PLAFIG","ceratina "
38,"A",1,"PLECON","ceratina "
39,"A",1,"PLAFIG","ceratina "
40,"A",2,"PLAFIG","ceratina "
41,"A",2,"PLAFIG","halictus"
42,"A",2,"PLAFIG","ceratina "
43,"A",2,"PLAFIG","ceratina "
44,"A",2,"PLECON","nomada"
45,"A",2,"PLECON","ceratina "
46,"A",2,"PLAFIG","nomada"
47,"A",2,"PLAFIG","osmia"
48,"A",2,"PLECON","mellisodes"
49,"A",2,"PLECON","ceratina "
50,"A",2,"PLECON","ceratina "
51,"A",2,"PLECON","ceratina "
52,"A",2,"PLECON","nomada"
53,"A",4,"CALMEN","halictus"
54,"A",5,"PLAFIG","ceratina "
55,"A",5,"PLAFIG","ceratina "
56,"A",5,"PLECON","ceratina "
57,"A",5,"PLECON","ceratina "
58,"A",5,"PLAFIG","osmia"
59,"A",5,"PLAFIG","ceratina "
61,"A",5,"PLAFIG","ceratina "
62,"A",5,"PLECON","nomada"
63,"A",5,"PLAFIG","ceratina "
64,"A",5,"PLECON","osmia"
65,"A",5,"PLAFIG","nomada"
66,"A",5,"PLECON","nomada"
67,"A",5,"PLAFIG","apis"
68,"A",5,"PLAFIG","ceratina "
69,"A",5,"PLECON","ceratina "
70,"A",5,"PLAFIG","ceratina "
71,"A",5,"PLECON","nomada"
72,"A",5,"PLECON","nomada"
73,"A",5,"PLECON","nomada"
74,"A",5,"PLAFIG","osmia"
75,"A",5,"PLAFIG","ceratina "
76,"B",3,"PLECON","syritta"
77,"B",3,"PLECON","ceratina "
78,"B",3,"PLAFIG","ceratina "
79,"B",3,"PLECON","ceratina "
80,"B",3,"PLECON","ceratina "
81,"B",3,"PLAFIG","osmia"
82,"B",3,"PLECON","ceratina "
83,"B",3,"PLAFIG","osmia"
84,"B",5,"PLAFIG","ceratina "
85,"B",5,"PLAFIG","ceratina "
86,"B",5,"PLAFIG","ceratina "
