Block,Plot,genSpec,sp,fc,Cblooms,Oblooms,Cseeds,Oseeds,GOseeds,GCseeds,BOseeds,BCseeds,total seeds ,total open,total closed
A,1,genOnly,CA,1,1,1,125,57,,,,,182,57,125
A,1,genOnly,CA,2,1,1,106,94,,,,,200,94,106
A,1,genOnly,CA,3,2,2,65,164,,,,,229,164,65
A,1,genOnly,CA,4,1,1,117,126,,,,,243,126,117
A,1,genOnly,CA,5,3,1,145,104,,,,,249,104,145
A,1,genOnly,CA,6,1,1,94,97,,,,,191,97,94
A,1,genOnly,CA,7,3,1,172,110,,,,,282,110,172
A,1,genOnly,CA,8,,,,,,,,,0,0,0
A,1,genOnly,CA,9,3,1,78,101,,,,,179,101,78
A,1,genOnly,CA,10,1,1,36,99,,,,,135,99,36
A,1,genOnly,ME,1,3,4,48,67,,,,,115,67,48
A,1,genOnly,ME,2,3,4,51,76,,,,,127,76,51
A,1,genOnly,ME,3,3,4,61,81,,,,,142,81,61
A,1,genOnly,ME,4,3,2,35,34,,,,,69,34,35
A,1,genOnly,ME,5,6,6,38,62,,,,,100,62,38
A,1,genOnly,ME,6,7,2,122,28,,,,,150,28,122
A,1,genOnly,ME,7,3,4,52,63,,,,,115,63,52
A,1,genOnly,ME,8,3,4,47,61,,,,,108,61,47
A,1,genOnly,ME,9,2,4,30,70,,,,,100,70,30
A,1,genOnly,ME,10,2,3,30,47,,,,,77,47,30
A,1,genOnly,ME,11,3,3,40,35,,,,,75,35,40
A,1,genOnly,PC,1,,,,,16,5,0,21,42,16,26
A,1,genOnly,PC,2,,,,,18,0,0,16,34,18,16
A,1,genOnly,PC,3,,,,,23,4,0,62,89,23,66
A,1,genOnly,PC,4,,,,,28,0,3,33,64,31,33
A,2,genSpec4,CP,1,1,,54,71,,,,,125,71,54
A,2,genSpec4,CP,2,1,1,54,44,,,,,98,44,54
A,2,genSpec4,CP,3,1,1,50,56,,,,,106,56,50
A,2,genSpec4,CP,4,1,1,64,71,,,,,135,71,64
A,2,genSpec4,CP,5,1,1,95,93,,,,,188,93,95
A,2,genSpec4,CP,6,1,1,64,75,,,,,139,75,64
